[2025-09-11 22:46:55] CREACION: Nuevo árbol binario creado
[2025-09-11 22:46:55] INICIO: INICIADO...
[2025-09-11 22:46:58] ERROR: Entrada inválida en menú principal
[2025-09-11 22:47:01] ERROR: Opción de menú inválida: -9
[2025-09-11 22:47:07] ERROR: Opción de menú inválida: 10
[2025-09-11 22:47:10] ERROR: Intento de búsqueda en árbol vacío
[2025-09-11 22:47:13] ERROR: Intento de agregar empleado en árbol vacío
[2025-09-11 22:47:16] ERROR: Intento de eliminar empleado en árbol vacío
[2025-09-11 22:47:21] CONSTRUCCION: Iniciando construcción del árbol con 1000 empleados
[2025-09-11 22:47:21] CREACION: Nuevo árbol binario creado
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [1] Carlos García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [2] María García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [3] Juan García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [4] Laura García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [5] Pedro García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [6] Sofía García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [7] Diego García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [8] Carmen García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [9] Luis García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [10] Elena García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [11] Roberto García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [12] Patricia García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [13] Miguel García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [14] Rosa García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [15] Fernando García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [16] Isabel García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [17] Antonio García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [18] Mónica García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [19] Javier García
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [20] Ana López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [21] Carlos López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [22] María López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [23] Juan López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [24] Laura López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [25] Pedro López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [26] Sofía López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [27] Diego López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [28] Carmen López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [29] Luis López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [30] Elena López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [31] Roberto López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [32] Patricia López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [33] Miguel López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [34] Rosa López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [35] Fernando López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [36] Isabel López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [37] Antonio López
[2025-09-11 22:47:21] INSERCION: Empleado insertado en árbol: [38] Mónica López
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [39] Javier López
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [40] Ana Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [41] Carlos Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [42] María Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [43] Juan Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [44] Laura Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [45] Pedro Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [46] Sofía Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [47] Diego Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [48] Carmen Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [49] Luis Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [50] Elena Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [51] Roberto Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [52] Patricia Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [53] Miguel Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [54] Rosa Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [55] Fernando Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [56] Isabel Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [57] Antonio Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [58] Mónica Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [59] Javier Rodríguez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [60] Ana Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [61] Carlos Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [62] María Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [63] Juan Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [64] Laura Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [65] Pedro Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [66] Sofía Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [67] Diego Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [68] Carmen Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [69] Luis Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [70] Elena Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [71] Roberto Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [72] Patricia Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [73] Miguel Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [74] Rosa Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [75] Fernando Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [76] Isabel Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [77] Antonio Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [78] Mónica Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [79] Javier Martínez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [80] Ana Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [81] Carlos Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [82] María Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [83] Juan Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [84] Laura Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [85] Pedro Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [86] Sofía Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [87] Diego Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [88] Carmen Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [89] Luis Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [90] Elena Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [91] Roberto Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [92] Patricia Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [93] Miguel Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [94] Rosa Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [95] Fernando Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [96] Isabel Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [97] Antonio Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [98] Mónica Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [99] Javier Pérez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [100] Ana Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [101] Carlos Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [102] María Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [103] Juan Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [104] Laura Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [105] Pedro Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [106] Sofía Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [107] Diego Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [108] Carmen Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [109] Luis Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [110] Elena Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [111] Roberto Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [112] Patricia Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [113] Miguel Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [114] Rosa Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [115] Fernando Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [116] Isabel Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [117] Antonio Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [118] Mónica Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [119] Javier Sánchez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [120] Ana Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [121] Carlos Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [122] María Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [123] Juan Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [124] Laura Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [125] Pedro Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [126] Sofía Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [127] Diego Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [128] Carmen Ramírez
[2025-09-11 22:47:22] INSERCION: Empleado insertado en árbol: [129] Luis Ramírez
